"Region","Sample size","Expected","Reported","Delta","p-value"
"Africa",49,"81.3%","77.6%","-3.7% [-5.7%; -1.7%]","0.00042"
"Americas",34,"92.5%","84.4%","-8.2% [-10.6%; -5.7%]","< 0.0001"
"Asia",45,"92.8%","90.6%","-2.3% [-4.4%; -0.1%]","0.036"
"Europe",40,"93.3%","90.8%","-2.5% [-4.7%; -0.3%]","0.029"
"Oceania",14,"84%","84.9%","0.9% [-2.8%; 4.7%]","0.63"
