"Country","Region","Income group","Reported total ZD (2020-2022, M)","Additional ZD (2020-2022, M)","Proportion additional (%)"
"India","Asia","LMIC",8.35,2.14,"25.7"
"Indonesia","Asia","UMIC",3.14,1.13,"35.8"
"Nigeria","Africa","LMIC",8.53,1.12,"13.1"
"Democratic Republic of the Congo","Africa","LIC",3.87,0.9,"23.2"
"Mozambique","Africa","LIC",1.12,0.73,"65.1"
"Angola","Africa","LMIC",2.08,0.49,"23.7"
"Philippines","Asia","LMIC",2.44,0.34,"14.1"
"Sudan","Africa","LIC",0.62,0.32,"51.1"
"United Republic of Tanzania","Africa","LMIC",1.01,0.29,"29.3"
"Pakistan","Asia","LMIC",3.18,0.27,"8.6"
